사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Mar-23,2호선,236,영등포구청,23,0,"5,704","3,608","13,208","13,793","42,619","39,465","51,411","129,987","31,686","56,179","24,765","28,683","25,222","25,774","27,126","26,089","28,373","29,273","29,966","27,293","31,283","28,512","38,818","32,726","56,102","39,731","107,511","58,867","38,667","39,769","29,232","24,054","28,426","22,014","21,163","19,705","9,724","13,161","1,633","4,601",0,132,0,1,0,0,2023-04-03 9:45
Mar-23,2호선,237,당산,34,9,"6,668","3,334","17,225","12,842","49,410","32,046","63,072","87,392","40,767","38,829","28,386","20,317","26,083","18,790","26,358","21,481","25,205","24,184","23,243","24,201","25,345","29,184","29,997","36,442","46,910","53,164","67,518","81,483","30,023","55,267","22,269","35,600","22,531","35,530","19,606","32,876","9,147","21,252","1,321","5,531",0,87,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,238,합정,110,9,"10,181","3,194","19,118","14,611","46,083","34,824","59,565","104,386","40,887","92,199","30,122","54,197","31,019","51,116","37,135","53,594","41,031","61,109","43,422","55,634","47,611","58,189","57,720","67,942","81,006","89,357","125,280","126,827","81,894","84,827","66,529","45,248","74,904","37,886","69,788","32,662","37,463","22,784","6,319","9,108",1,150,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,239,홍대입구,"1,155",17,"27,942","3,639","31,603","18,150","67,590","40,835","88,394","115,078","65,238","155,828","56,938","107,709","63,120","119,698","71,985","138,501","84,140","153,315","91,478","143,913","115,506","148,479","148,430","164,026","175,584","200,774","202,824","251,158","168,511","180,815","164,411","103,290","196,737","83,589","193,581","67,920","102,718","49,352","13,565","18,458",5,"2,028",0,0,0,0,2023-04-03 9:45
Mar-23,2호선,240,신촌,70,2,"7,854","3,008","14,912","15,237","39,439","39,490","59,105","101,225","42,192","110,623","39,504","80,439","46,034","69,121","57,699","71,090","64,683","78,989","68,004","67,738","78,672","63,774","96,565","71,198","113,672","98,264","112,356","131,472","79,541","85,113","80,258","48,217","88,721","42,631","92,990","36,765","46,917","25,764","8,261","7,205",2,113,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,241,이대,32,0,"3,735",927,"9,635","6,176","29,747","16,695","40,328","51,002","25,032","62,623","19,806","51,943","21,672","31,806","30,354","36,874","31,654","39,906","32,481","28,111","43,573","29,394","46,277","31,169","59,536","39,002","52,269","51,664","31,508","36,847","28,350","24,082","27,197","24,018","19,677","24,050","7,509","17,296","1,050","4,802",0,57,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,242,아현,21,0,"4,993",906,"11,348","6,301","32,330","13,863","45,389","25,164","26,083","14,465","19,218","13,637","17,312","10,909","18,378","13,545","18,579","14,222","16,687","15,183","18,253","16,987","25,704","20,004","21,894","26,074","22,641","36,508","13,869","27,713","10,262","18,206","7,954","17,636","6,215","16,477","2,416","9,993",444,"2,916",2,33,0,1,0,0,2023-04-03 9:45
Mar-23,2호선,243,충정로(경기대입구),20,1,"3,257","1,051","6,716","7,992","17,604","25,251","23,984","67,502","15,719","29,447","11,486","14,178","12,219","11,833","12,593","11,472","14,078","13,525","14,200","12,968","15,377","12,792","20,554","14,289","32,844","17,655","51,060","23,371","16,279","16,556","11,030","10,769","10,592","10,974","7,393","10,206","3,404","6,664",704,"2,084",2,59,0,2,0,0,2023-04-03 9:45
Mar-23,2호선,244,용답,1,0,"2,322",227,"3,385","1,397","9,464","1,921","14,708","4,581","7,639","8,359","5,408","4,598","4,701","3,720","5,436","4,056","5,704","5,523","5,285","4,437","6,262","5,493","7,758","6,893","7,063","7,779","4,760","12,027","2,965","8,176","2,271","5,256","1,722","6,201","1,281","6,133",552,"3,668",119,"1,129",0,2,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,245,신답,6,0,"1,273",185,"1,951",574,"7,000",998,"12,169","1,860","5,544","1,142","2,803","1,289","2,453","1,383","2,313","1,587","2,276","1,870","2,094","2,167","1,994","2,848","2,160","3,934","2,248","4,890","2,449","10,476","1,169","7,777",712,"3,521",582,"4,071",561,"3,260",202,"2,113",35,583,0,0,0,0,0,0,2023-04-03 9:45
Mar-23,2호선,246,신설동,48,1,"1,606",334,"1,592","2,195","4,989","5,547","9,659","14,829","6,043","9,308","5,044","8,382","5,936","7,660","7,323","7,632","8,116","8,410","8,610","6,940","9,734","6,453","10,487","5,609","12,953","6,794","13,693","8,252","5,399","6,379","3,621","4,471","3,367","3,706","2,311","3,551",823,"2,452",121,789,0,129,0,0,0,0,2023-04-03 9:45
